title,artist,year,decade,categories,social_singing,original_vocal,possible_duplicate,match_confidence,needs_review,notes,raw_input
Wrapped Up,Olly Murs Ft. Travie McCoy,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-09 - Olly Murs Ft. Travie McCoy - Wrapped Up.mp3
Blame It On Me,George Ezra,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-10 - George Ezra - Blame It On Me.mp3
I,Kendrick Lamar,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-11 - Kendrick Lamar - I.mp3
The Days,Avicci Ft. Robbie Williams,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-12 - Avicci Ft. Robbie Williams - The Days.mp3
Dangerous,David Guetta & Sam Martin,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-14 - David Guetta & Sam Martin - Dangerous.mp3
Drunk And Incapable,Krishane & Melissa Steel,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-16 - Krishane & Melissa Steel - Drunk And Incapable.mp3
You Ruin Me,Veronicas,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF345 - Sunfly Hits November 2014 - KaraokeRG\SF345-18 - Veronicas - You Ruin Me.mp3
Real Love,Tom Odell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-01 - Tom Odell - Real Love.mp3
Fireproof,One Direction,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-02 - One Direction - Fireproof.mp3
Blank Space,Taylor Swift,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-03 - Taylor Swift - Blank Space.mp3
Outside,Calvin Harris & Ellie Goulding,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-04 - Calvin Harris & Ellie Goulding - Outside.mp3
You Got It All,Union J,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-05 - Union J - You Got It All.mp3
Air Guitar,McBusted,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-06 - McBusted - Air Guitar.mp3
No Enemiesz,Kiesza,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-07 - Kiesza - No Enemiesz.mp3
Take Me To Church,Hozier,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-08 - Hozier - Take Me To Church.mp3
Real Love,Clean Bandit & Jess Glynne,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-09 - Clean Bandit & Jess Glynne - Real Love.mp3
Love Me Harder,Ariana Grande & Weeknd,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-10 - Ariana Grande & Weeknd - Love Me Harder.mp3
Right Now,Mary J. Blige,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-11 - Mary J. Blige - Right Now.mp3
When The Beat Drops Out,Marlon Roudette,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-12 - Marlon Roudette - When The Beat Drops Out.mp3
Ready For The Good Life,Paloma Faith,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-13 - Paloma Faith - Ready For The Good Life.mp3
No Good In Goodbye,Script,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-14 - Script - No Good In Goodbye.mp3
L.A. Love,Fergie,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-15 - Fergie - L.A. Love (La La).mp3
Yellow Flicker Beat,Lorde,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-16 - Lorde - Yellow Flicker Beat.mp3
Baby Don't Lie,Gwen Stefani,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-17 - Gwen Stefani - Baby Don't Lie.mp3
Louder Than Words,Pink Floyd,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\SF346 - Sunfly Hits December 2014 - KaraokeRG\SF346-18 - Pink Floyd - Louder Than Words.mp3
Chainsmokers #Selfie,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-01 - Chainsmokers - #Selfie.mp3
Dan + Shay 19 You + Me,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-02 - Dan + Shay - 19 You + Me.mp3
Gloriana Best Night Ever,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-03 - Gloriana - Best Night Ever.mp3
Florida Georgia Line Hands On You,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-04 - Florida Georgia Line - Hands On You.mp3
Pharrell Williams Happy,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-05 - Pharrell Williams - Happy.mp3
Frozen Love Is An Open Door,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-06 - Frozen - Love Is An Open Door.mp3
Rascal Flatts Rewind,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-07 - Rascal Flatts - Rewind.mp3
Lucy Hale You Sound Good To Me,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-08 - Lucy Hale - You Sound Good To Me.mp3
Chainsmokers #Selfie Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-09 - Chainsmokers - #Selfie Wvocal.mp3
Dan + Shay 19 You + Me Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-10 - Dan + Shay - 19 You + Me Wvocal.mp3
Gloriana Best Night Ever Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-11 - Gloriana - Best Night Ever Wvocal.mp3
Florida Georgia Line Hands On You Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-12 - Florida Georgia Line - Hands On You Wvocal.mp3
Pharrell Williams Happy Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-13 - Pharrell Williams - Happy Wvocal.mp3
Frozen Love Is An Open Door Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-14 - Frozen - Love Is An Open Door Wvocal.mp3
Rascal Flatts Rewind Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-15 - Rascal Flatts - Rewind Wvocal.mp3
Lucy Hale You Sound Good To Me Wvocal,Ask1403a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1403A - Pop And Country March 2014 - KaraokeRG\ASK1403A-16 - Lucy Hale - You Sound Good To Me Wvocal.mp3
The Walker,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-01 - Fitz & The Tantrums - The Walker.cdg
The Walker,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-01 - Fitz & The Tantrums - The Walker.mp3
Maps,Maroon,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-02 - Maroon 5 - Maps.cdg
Maps,Maroon,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-02 - Maroon 5 - Maps.mp3
All About That Bass,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-03 - Meghan Trainor - All About That Bass.cdg
All About That Bass,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-03 - Meghan Trainor - All About That Bass.mp3
Dirt,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-04 - Florida Georgia Line - Dirt.cdg
Dirt,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-04 - Florida Georgia Line - Dirt.mp3
Burnin' It Down,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-05 - Jason Aldean - Burnin' It Down.cdg
Burnin' It Down,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-05 - Jason Aldean - Burnin' It Down.mp3
Trippin' On Us,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-06 - Lindsay Ell - Trippin' On Us.cdg
Trippin' On Us,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-06 - Lindsay Ell - Trippin' On Us.mp3
Drunk On A Plane,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-07 - Dierks Bentley - Drunk On A Plane.cdg
Drunk On A Plane,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-07 - Dierks Bentley - Drunk On A Plane.mp3
Bad Girl Phase,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-08 - Sunny Sweeney - Bad Girl Phase.cdg
Bad Girl Phase,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-08 - Sunny Sweeney - Bad Girl Phase.mp3
The Walker Wvocal,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-09 - Fitz & The Tantrums - The Walker Wvocal.cdg
The Walker Wvocal,Fitz & The Tantrums,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-09 - Fitz & The Tantrums - The Walker Wvocal.mp3
Maps,Maroon 5 Wvocal,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-10 - Maroon 5 Wvocal - Maps.cdg
Maps,Maroon 5 Wvocal,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-10 - Maroon 5 Wvocal - Maps.mp3
All About That Bass Wvocal,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-11 - Meghan Trainor - All About That Bass Wvocal.cdg
All About That Bass Wvocal,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-11 - Meghan Trainor - All About That Bass Wvocal.mp3
Dirt Wvocal,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-12 - Florida Georgia Line - Dirt Wvocal.cdg
Dirt Wvocal,Florida Georgia Line,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-12 - Florida Georgia Line - Dirt Wvocal.mp3
Burnin' It Down Wvocal,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-13 - Jason Aldean - Burnin' It Down Wvocal.cdg
Burnin' It Down Wvocal,Jason Aldean,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-13 - Jason Aldean - Burnin' It Down Wvocal.mp3
Trippin' On Us Wvocal,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-14 - Lindsay Ell - Trippin' On Us Wvocal.cdg
Trippin' On Us Wvocal,Lindsay Ell,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-14 - Lindsay Ell - Trippin' On Us Wvocal.mp3
Drunk On A Plane Wvocal,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-15 - Dierks Bentley - Drunk On A Plane Wvocal.cdg
Drunk On A Plane Wvocal,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-15 - Dierks Bentley - Drunk On A Plane Wvocal.mp3
Bad Girl Phase Wvocal,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-16 - Sunny Sweeney - Bad Girl Phase Wvocal.cdg
Bad Girl Phase Wvocal,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-16 - Sunny Sweeney - Bad Girl Phase Wvocal.mp3
Break Free,Ariana Grande,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-01 - Ariana Grande - Break Free.mp3
Bad Blood,Bastille,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-02 - Bastille - Bad Blood.cdg
Bad Blood,Bastille,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-02 - Bastille - Bad Blood.mp3
Shower,Becky G,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-03 - Becky G - Shower.mp3
Tattoo,Hunter Hayes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-04 - Hunter Hayes - Tattoo.mp3
Bang Bang,Jessie J,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-05 - Jessie J - Bang Bang.mp3
What I Can't Put Down,Jon Pardi,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-06 - Jon Pardi - What I Can't Put Down.mp3
American Kids,Kenny Chesney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-07 - Kenny Chesney - American Kids.mp3
I Melt With You,Modern English,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-08 - Modern English - I Melt With You.mp3
Bad Blood Wvocal,Bastille,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-10 - Bastille - Bad Blood Wvocal.mp3
Shower Wvocal,Becky G,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-11 - Becky G - Shower Wvocal.mp3
Tattoo Wvocal,Hunter Hayes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-12 - Hunter Hayes - Tattoo Wvocal.mp3
Bang Bang Wvocal,Jessie J,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-13 - Jessie J - Bang Bang Wvocal.mp3
What I Can't Put Down Wvocal,Jon Pardi,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-14 - Jon Pardi - What I Can't Put Down Wvocal.mp3
I Melt With You Wvocal,Modern English,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\ASK1409-16 - Modern English - I Melt With You Wvocal.mp3
KaraokeRG,,,,,,,Yes,Low,Yes,removed path fragments; removed file extension; single field had no reliable separator; could not confidently separate artist/title; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\ASK1409 - Pop And Country September 2014 - KaraokeRG\KaraokeRG.mp4
Cold One,Eric Church,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-01 - Eric Church - Cold One.cdg
Cold One,Eric Church,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-01 - Eric Church - Cold One.mp3
23 Degrees And South,Billy Currington,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-02 - Billy Currington - 23 Degrees And South.cdg
23 Degrees And South,Billy Currington,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\Karaoke 12-9-14\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-02 - Billy Currington - 23 Degrees And South.mp3
